Custid,Dayswus,Age,Edu,Income,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,YearsAsCustomer,logIncome,logLTV,FrequencyScore,RecencyScore,MonetaryScore,RFM
2027,727.0,32.0,16.0,43716.0,2.0,93.0,24.0,0.0,46.0,14.0,20.0,41.0,1.0,24.0,65.0,67.0,7.0,2.0,10.685469446796564,0.0,1,1,1,3
2028,1074.0,32.0,18.0,51487.0,7.0,70.0,185.0,-18.0,68.0,55.0,5.0,31.0,6.0,3.0,27.0,36.0,5.0,2.9,10.849084627602258,0.0,2,2,2,6
2029,628.0,59.0,18.0,99439.0,10.0,7.0,302.0,84.0,9.0,62.0,4.0,26.0,1.0,7.0,14.0,35.0,2.0,1.7,11.507299669818662,4.430816798843313,2,4,2,8
2030,1130.0,78.0,19.0,101043.0,34.0,53.0,1733.0,662.0,3.0,39.0,4.0,54.0,2.0,1.0,1.0,15.0,4.0,3.1,11.523301447795,6.495265555937008,4,2,4,10
2031,1038.0,53.0,16.0,78015.0,22.0,42.0,961.0,315.0,8.0,52.0,9.0,24.0,7.0,9.0,8.0,40.0,6.0,2.8,11.264656394875283,5.752572638825633,3,3,3,9
2032,711.0,40.0,17.0,62979.0,3.0,16.0,64.0,-15.0,70.0,66.0,3.0,30.0,0.0,1.0,14.0,48.0,6.0,1.9,11.050556616472432,0.0,1,4,1,6
2033,1118.0,63.0,19.0,74840.0,19.0,63.0,767.0,180.0,14.0,61.0,0.0,26.0,9.0,4.0,4.0,36.0,6.0,3.1,11.223107780388025,5.19295685089021,3,2,3,8
2034,737.0,56.0,18.0,81785.0,20.0,10.0,826.0,302.0,3.0,67.0,4.0,28.0,1.0,1.0,7.0,32.0,4.0,2.0,11.311849131692625,5.71042701737487,3,4,3,10
2035,786.0,68.0,20.0,83338.0,24.0,6.0,1076.0,567.0,3.0,61.0,2.0,33.0,1.0,3.0,0.0,15.0,2.0,2.2,11.330659906608332,6.340359303727752,3,4,3,10
2036,1203.0,38.0,20.0,51213.0,14.0,65.0,495.0,119.0,11.0,31.0,13.0,25.0,18.0,13.0,3.0,37.0,6.0,3.3,10.843748685048862,4.77912349311153,3,2,3,8
2037,659.0,77.0,18.0,111412.0,24.0,71.0,1078.0,405.0,2.0,74.0,4.0,21.0,1.0,0.0,8.0,13.0,1.0,1.8,11.620990320602132,6.003887067106539,3,2,3,8
2038,750.0,61.0,18.0,93747.0,29.0,29.0,1414.0,464.0,5.0,69.0,2.0,25.0,2.0,2.0,10.0,27.0,5.0,2.1,11.448354943320647,6.139884552226255,4,3,4,11
2039,1081.0,64.0,18.0,95084.0,30.0,41.0,1469.0,449.0,12.0,72.0,3.0,21.0,3.0,2.0,6.0,25.0,5.0,3.0,11.462515990425148,6.1070228877422545,4,3,4,11
2040,1180.0,48.0,16.0,74674.0,16.0,95.0,594.0,207.0,21.0,72.0,2.0,20.0,3.0,2.0,24.0,34.0,6.0,3.2,11.220887251632075,5.332718793265369,3,1,3,7
2041,1108.0,78.0,20.0,118475.0,39.0,20.0,2038.0,953.0,2.0,53.0,2.0,40.0,3.0,2.0,1.0,12.0,2.0,3.0,11.682457246835789,6.859614903654202,4,4,4,12
2042,738.0,65.0,20.0,87060.0,17.0,19.0,652.0,239.0,8.0,56.0,5.0,18.0,4.0,17.0,1.0,16.0,2.0,2.0,11.374352815106288,5.476463551931511,3,4,3,10
2043,949.0,75.0,14.0,110129.0,38.0,75.0,1986.0,1101.0,2.0,24.0,6.0,50.0,14.0,6.0,13.0,14.0,2.0,2.6,11.609407684939793,7.00397413672268,4,2,4,10
2044,1156.0,49.0,17.0,72421.0,16.0,35.0,605.0,213.0,17.0,84.0,2.0,11.0,2.0,1.0,26.0,58.0,8.0,3.2,11.190251591564536,5.3612921657094255,3,3,3,9
2045,1023.0,63.0,14.0,96587.0,34.0,54.0,1735.0,644.0,1.0,38.0,15.0,30.0,12.0,5.0,10.0,50.0,8.0,2.8,11.478199435575148,6.467698726104354,4,2,4,10
2046,663.0,66.0,18.0,109325.0,25.0,44.0,1146.0,473.0,3.0,48.0,10.0,37.0,0.0,5.0,3.0,14.0,1.0,1.8,11.60208037628112,6.159095388491933,4,3,4,11
2047,1118.0,65.0,15.0,87308.0,28.0,35.0,1342.0,417.0,4.0,31.0,21.0,24.0,15.0,8.0,11.0,16.0,3.0,3.1,11.377197375658968,6.0330862217988015,4,3,4,11
2048,748.0,45.0,18.0,58665.0,7.0,62.0,184.0,-4.0,53.0,84.0,0.0,13.0,0.0,3.0,16.0,57.0,7.0,2.0,10.979598575857723,0.0,2,2,2,6
2049,820.0,24.0,18.0,10000.0,3.0,19.0,20.0,-4.0,90.0,17.0,8.0,50.0,13.0,12.0,60.0,55.0,5.0,2.2,9.210340371976184,0.0,1,4,1,6
2050,616.0,36.0,17.0,68318.0,4.0,10.0,75.0,-3.0,55.0,75.0,1.0,19.0,2.0,3.0,27.0,53.0,5.0,1.7,11.131928554029276,0.0,1,4,2,7
2051,1136.0,72.0,18.0,102445.0,29.0,68.0,1411.0,694.0,2.0,40.0,4.0,43.0,9.0,4.0,9.0,13.0,1.0,3.1,11.5370813481813,6.542471960506805,4,2,4,10
2052,689.0,61.0,17.0,84801.0,20.0,27.0,829.0,194.0,12.0,46.0,7.0,33.0,10.0,4.0,3.0,31.0,4.0,1.9,11.348062614163295,5.267858159063328,3,3,3,9
2053,1213.0,75.0,18.0,98331.0,29.0,81.0,1411.0,720.0,1.0,35.0,17.0,31.0,11.0,6.0,20.0,23.0,3.0,3.3,11.496094617558756,6.579251212010101,4,1,4,9
2054,828.0,73.0,20.0,125787.0,47.0,3.0,2529.0,780.0,1.0,71.0,2.0,23.0,3.0,2.0,2.0,14.0,2.0,2.3,11.742345279275922,6.659293919683638,4,4,4,12
2055,1054.0,69.0,18.0,110868.0,40.0,80.0,2106.0,998.0,3.0,46.0,7.0,40.0,5.0,2.0,10.0,13.0,2.0,2.9,11.616095583458746,6.905753276311464,4,1,4,9
2056,1186.0,48.0,18.0,85309.0,22.0,88.0,958.0,379.0,10.0,87.0,0.0,11.0,1.0,1.0,12.0,41.0,6.0,3.2,11.354035237878815,5.937536205082426,3,1,3,7
2057,1195.0,29.0,14.0,35320.0,7.0,92.0,182.0,28.0,26.0,25.0,26.0,29.0,9.0,11.0,14.0,38.0,6.0,3.3,10.472204654717896,3.332204510175204,2,1,2,5
2058,817.0,34.0,16.0,42385.0,3.0,3.0,50.0,-9.0,75.0,40.0,4.0,43.0,12.0,1.0,57.0,54.0,6.0,2.2,10.654549805042507,0.0,1,4,1,6
2059,1222.0,32.0,18.0,55048.0,19.0,27.0,777.0,18.0,47.0,80.0,1.0,18.0,1.0,1.0,7.0,65.0,9.0,3.3,10.915960810882316,2.8903717578961645,3,3,3,9
2060,844.0,60.0,20.0,81974.0,15.0,44.0,545.0,158.0,19.0,85.0,2.0,11.0,2.0,1.0,5.0,33.0,3.0,2.3,11.314157402797333,5.062595033026967,3,3,3,9
2061,1225.0,29.0,19.0,50588.0,4.0,82.0,92.0,3.0,46.0,51.0,3.0,41.0,4.0,1.0,12.0,66.0,8.0,3.4,10.831469672999868,1.0986122886681098,1,1,2,4
2062,1009.0,39.0,17.0,77173.0,18.0,35.0,712.0,176.0,17.0,70.0,1.0,27.0,1.0,1.0,4.0,37.0,5.0,2.8,11.2538049339066,5.170483995038151,3,3,3,9
2063,604.0,27.0,15.0,47611.0,4.0,19.0,68.0,0.0,49.0,41.0,4.0,25.0,15.0,15.0,22.0,58.0,7.0,1.7,10.770819105958742,0.0,1,4,2,7
2064,1169.0,49.0,18.0,69556.0,13.0,76.0,435.0,63.0,31.0,94.0,0.0,5.0,0.0,0.0,7.0,56.0,8.0,3.2,11.14988746250196,4.143134726391533,3,2,3,8
2065,782.0,63.0,20.0,97387.0,17.0,89.0,654.0,219.0,7.0,74.0,2.0,20.0,1.0,3.0,9.0,33.0,3.0,2.1,11.48644801049681,5.389071729816501,3,1,3,7
2066,890.0,70.0,17.0,109547.0,35.0,61.0,1797.0,974.0,1.0,38.0,7.0,44.0,2.0,8.0,0.0,13.0,2.0,2.4,11.604108959892825,6.881411303642535,4,2,4,10
2067,637.0,49.0,20.0,72674.0,4.0,99.0,90.0,23.0,14.0,94.0,0.0,5.0,1.0,0.0,6.0,52.0,5.0,1.7,11.193738965442488,3.1354942159291497,1,1,2,4
2068,901.0,45.0,16.0,52314.0,4.0,33.0,90.0,-5.0,57.0,57.0,2.0,34.0,4.0,3.0,21.0,49.0,6.0,2.5,10.86501930065587,0.0,1,3,2,6
2069,734.0,26.0,17.0,28253.0,4.0,61.0,38.0,-3.0,65.0,20.0,5.0,66.0,2.0,7.0,29.0,52.0,5.0,2.0,10.248954925626595,0.0,1,2,1,4
2070,1052.0,74.0,16.0,111189.0,40.0,54.0,2106.0,1079.0,1.0,68.0,8.0,12.0,8.0,5.0,10.0,54.0,7.0,2.9,11.618986735042318,6.983789965258135,4,2,4,10
2071,957.0,22.0,16.0,28070.0,3.0,99.0,40.0,-4.0,71.0,6.0,29.0,28.0,12.0,25.0,52.0,52.0,5.0,2.6,10.242456669355928,0.0,1,1,1,3
2072,705.0,53.0,20.0,92690.0,22.0,87.0,962.0,321.0,7.0,86.0,0.0,13.0,1.0,0.0,2.0,60.0,6.0,1.9,11.437015870869878,5.771441123130016,3,1,3,7
2073,1153.0,58.0,18.0,108152.0,31.0,9.0,1534.0,572.0,7.0,52.0,4.0,28.0,14.0,2.0,6.0,24.0,4.0,3.2,11.591292924044241,6.349138991379798,4,4,4,12
2074,1150.0,21.0,15.0,40506.0,4.0,36.0,89.0,10.0,23.0,13.0,21.0,26.0,20.0,20.0,14.0,57.0,7.0,3.2,10.609205390269926,2.302585092994046,1,3,2,6
2075,705.0,62.0,15.0,79581.0,9.0,78.0,264.0,97.0,11.0,34.0,6.0,34.0,10.0,16.0,2.0,47.0,4.0,1.9,11.284530649873318,4.574710978503383,2,2,2,6
2076,838.0,36.0,17.0,47182.0,6.0,56.0,151.0,23.0,37.0,62.0,4.0,30.0,3.0,1.0,21.0,52.0,7.0,2.3,10.761767742906777,3.1354942159291497,2,2,2,6
2077,702.0,51.0,18.0,68931.0,8.0,19.0,225.0,43.0,34.0,89.0,1.0,9.0,1.0,1.0,7.0,58.0,7.0,1.9,11.140861283245814,3.7612001156935624,2,4,2,8
2078,1064.0,63.0,19.0,82661.0,26.0,27.0,1208.0,436.0,13.0,87.0,1.0,12.0,0.0,0.0,2.0,24.0,5.0,2.9,11.322503185742365,6.077642243349034,4,3,4,11
2079,1127.0,53.0,15.0,101424.0,27.0,67.0,1282.0,480.0,4.0,87.0,1.0,10.0,2.0,1.0,6.0,43.0,6.0,3.1,11.527065028523948,6.173786103901937,4,2,4,10
2080,1050.0,63.0,17.0,96094.0,25.0,4.0,1156.0,274.0,10.0,46.0,6.0,26.0,10.0,12.0,13.0,20.0,2.0,2.9,11.473082158045662,5.6131281063880705,4,4,4,12
2081,781.0,24.0,16.0,28676.0,4.0,61.0,36.0,-4.0,64.0,39.0,8.0,17.0,28.0,8.0,32.0,40.0,4.0,2.1,10.263815814972762,0.0,1,2,1,4
2082,932.0,75.0,17.0,99846.0,33.0,82.0,1666.0,621.0,2.0,37.0,6.0,47.0,5.0,5.0,1.0,10.0,1.0,2.6,11.511384277951398,6.431331081933479,4,1,4,9
2083,838.0,53.0,18.0,79646.0,14.0,25.0,488.0,73.0,27.0,89.0,2.0,8.0,1.0,1.0,50.0,43.0,4.0,2.3,11.285347094365907,4.290459441148391,3,4,3,10
2084,692.0,48.0,19.0,80671.0,14.0,73.0,493.0,150.0,16.0,93.0,0.0,5.0,1.0,1.0,7.0,41.0,6.0,1.9,11.298134434036164,5.0106352940962555,3,2,3,8
2085,1133.0,32.0,16.0,43030.0,1.0,7.0,14.0,-3.0,82.0,17.0,5.0,34.0,33.0,11.0,12.0,65.0,8.0,3.1,10.669652825832646,0.0,1,4,1,6
2086,554.0,55.0,17.0,76364.0,16.0,28.0,604.0,125.0,22.0,63.0,6.0,21.0,9.0,1.0,5.0,35.0,5.0,1.5,11.24326665991455,4.8283137373023015,3,3,3,9
2087,967.0,25.0,16.0,26881.0,4.0,12.0,75.0,-2.0,54.0,31.0,8.0,37.0,21.0,3.0,12.0,61.0,8.0,2.6,10.199174996326047,0.0,1,4,2,7
2088,645.0,52.0,19.0,86078.0,16.0,18.0,589.0,164.0,28.0,85.0,0.0,13.0,0.0,1.0,2.0,47.0,6.0,1.8,11.36300914092495,5.099866427824199,3,4,3,10
2089,561.0,27.0,18.0,51209.0,4.0,59.0,93.0,-3.0,54.0,60.0,2.0,34.0,2.0,3.0,62.0,42.0,6.0,1.5,10.843670576829885,0.0,1,2,2,5
2090,1016.0,53.0,18.0,83197.0,17.0,76.0,657.0,297.0,4.0,91.0,0.0,8.0,0.0,0.0,21.0,53.0,6.0,2.8,11.328966568466898,5.6937321388027,3,2,3,8
2091,631.0,24.0,15.0,37912.0,2.0,49.0,28.0,1.0,43.0,11.0,20.0,41.0,17.0,11.0,28.0,56.0,7.0,1.7,10.543022963647424,0.0,1,3,1,5
2092,1162.0,32.0,17.0,51022.0,1.0,86.0,19.0,0.0,53.0,20.0,20.0,39.0,12.0,9.0,16.0,71.0,9.0,3.2,10.840012191241092,0.0,1,1,1,3
2093,617.0,76.0,20.0,123900.0,41.0,19.0,2168.0,691.0,2.0,73.0,1.0,23.0,1.0,3.0,2.0,8.0,1.0,1.7,11.727230067617233,6.53813982376767,4,4,4,12
2094,1172.0,24.0,16.0,28581.0,2.0,18.0,29.0,0.0,52.0,9.0,20.0,46.0,11.0,14.0,20.0,61.0,8.0,3.2,10.26049744037489,0.0,1,4,1,6
2095,942.0,46.0,17.0,55901.0,1.0,92.0,19.0,-3.0,77.0,77.0,4.0,16.0,1.0,2.0,34.0,56.0,7.0,2.6,10.93133754807084,0.0,1,1,1,3
2096,687.0,75.0,18.0,117216.0,28.0,57.0,1344.0,611.0,13.0,73.0,2.0,22.0,1.0,2.0,1.0,47.0,5.0,1.9,11.671773665578542,6.415096959171596,4,2,4,10
2097,725.0,57.0,18.0,81009.0,12.0,72.0,395.0,8.0,48.0,60.0,3.0,31.0,3.0,3.0,16.0,38.0,4.0,2.0,11.302315538593305,2.0794415416798357,2,2,3,7
2098,1243.0,75.0,17.0,114985.0,46.0,62.0,2468.0,1297.0,1.0,37.0,5.0,51.0,4.0,3.0,4.0,22.0,5.0,3.4,11.652556964055423,7.167809184316444,4,2,4,10
2099,639.0,36.0,16.0,47940.0,3.0,90.0,41.0,-10.0,89.0,85.0,1.0,10.0,1.0,3.0,22.0,64.0,7.0,1.8,10.777705507988376,0.0,1,1,1,3
2100,1223.0,32.0,15.0,59356.0,13.0,14.0,433.0,-16.0,54.0,35.0,12.0,19.0,25.0,9.0,22.0,50.0,8.0,3.4,10.991308490126016,0.0,3,4,3,10
2101,1178.0,47.0,16.0,74970.0,13.0,79.0,446.0,87.0,19.0,81.0,1.0,14.0,2.0,2.0,34.0,49.0,7.0,3.2,11.224843312497107,4.465908118654584,3,1,3,7
2102,892.0,69.0,17.0,98267.0,24.0,68.0,1083.0,541.0,3.0,69.0,9.0,17.0,3.0,2.0,4.0,54.0,7.0,2.4,11.495443542753714,6.293419278846481,3,2,4,9
2103,727.0,74.0,16.0,120399.0,37.0,7.0,1918.0,677.0,0.0,31.0,7.0,41.0,13.0,7.0,3.0,14.0,1.0,2.0,11.698566506174526,6.517671272912275,4,4,4,12
2104,921.0,37.0,16.0,56341.0,8.0,46.0,221.0,-36.0,69.0,61.0,3.0,27.0,5.0,5.0,20.0,41.0,7.0,2.5,10.939177790651616,0.0,2,3,2,7
2105,671.0,25.0,17.0,34281.0,4.0,17.0,46.0,1.0,48.0,41.0,1.0,45.0,2.0,10.0,65.0,67.0,8.0,1.8,10.442346543814823,0.0,1,4,1,6
2106,638.0,29.0,17.0,47178.0,2.0,63.0,29.0,0.0,52.0,29.0,7.0,60.0,4.0,0.0,60.0,71.0,7.0,1.7,10.761682961219572,0.0,1,2,1,4
2107,675.0,33.0,15.0,37491.0,3.0,42.0,40.0,-2.0,57.0,30.0,12.0,33.0,22.0,2.0,37.0,59.0,7.0,1.8,10.531856183153893,0.0,1,3,1,5
2108,884.0,36.0,19.0,52177.0,5.0,27.0,121.0,27.0,25.0,76.0,1.0,21.0,1.0,1.0,5.0,47.0,6.0,2.4,10.862397063745467,3.295836866004329,2,3,2,7
2109,1150.0,76.0,14.0,109796.0,42.0,38.0,2225.0,772.0,1.0,25.0,24.0,38.0,7.0,6.0,28.0,16.0,3.0,3.2,11.606379377521488,6.648984550024776,4,3,4,11
2110,966.0,68.0,16.0,103667.0,18.0,69.0,715.0,250.0,7.0,55.0,4.0,24.0,9.0,8.0,6.0,43.0,3.0,2.6,11.548939117922176,5.521460917862246,3,2,3,8
2111,1157.0,77.0,15.0,119762.0,29.0,87.0,1403.0,468.0,20.0,66.0,7.0,19.0,1.0,7.0,6.0,47.0,6.0,3.2,11.693261719020866,6.148468295917647,4,1,4,9
2112,1030.0,34.0,18.0,46588.0,4.0,26.0,75.0,-5.0,61.0,53.0,3.0,34.0,5.0,5.0,32.0,65.0,8.0,2.8,10.749098276222542,0.0,1,4,2,7
2113,916.0,69.0,19.0,103320.0,29.0,67.0,1408.0,481.0,2.0,51.0,6.0,33.0,8.0,2.0,4.0,10.0,1.0,2.5,11.545586247209776,6.175867270105761,4,2,4,10
2114,1108.0,20.0,14.0,21333.0,4.0,61.0,71.0,12.0,30.0,69.0,6.0,11.0,5.0,8.0,26.0,30.0,4.0,3.0,9.968010448551627,2.4849066497880004,1,2,2,5
2115,1082.0,74.0,17.0,110063.0,41.0,76.0,2164.0,840.0,1.0,43.0,19.0,27.0,5.0,6.0,12.0,26.0,5.0,3.0,11.60880820810161,6.733401891837359,4,2,4,10
2116,550.0,76.0,19.0,105082.0,28.0,9.0,1346.0,668.0,2.0,59.0,1.0,35.0,3.0,2.0,3.0,20.0,3.0,1.5,11.562496276735974,6.504288173536645,4,4,4,12
2117,921.0,63.0,17.0,82623.0,14.0,86.0,481.0,109.0,15.0,49.0,11.0,30.0,1.0,8.0,2.0,35.0,4.0,2.5,11.322043371112159,4.6913478822291435,3,1,3,7
2118,714.0,35.0,19.0,56282.0,7.0,91.0,183.0,33.0,24.0,64.0,1.0,27.0,4.0,4.0,48.0,47.0,4.0,2.0,10.938130047199616,3.4965075614664802,2,1,2,5
2119,645.0,27.0,20.0,36634.0,4.0,56.0,72.0,19.0,23.0,40.0,9.0,24.0,17.0,9.0,48.0,37.0,4.0,1.8,10.508732049920162,2.9444389791664403,1,2,2,5
2120,848.0,44.0,18.0,74793.0,18.0,95.0,707.0,118.0,29.0,70.0,2.0,25.0,2.0,1.0,3.0,38.0,4.0,2.3,11.222479576695717,4.770684624465665,3,1,3,7
2121,1156.0,73.0,17.0,102056.0,35.0,27.0,1793.0,1013.0,1.0,23.0,15.0,43.0,2.0,18.0,3.0,9.0,1.0,3.2,11.533276961218126,6.920671504248683,4,3,4,11
2122,1008.0,38.0,18.0,50251.0,3.0,61.0,64.0,-14.0,75.0,64.0,6.0,15.0,9.0,6.0,13.0,54.0,7.0,2.8,10.824785726220822,0.0,1,2,1,4
2123,1149.0,49.0,16.0,68867.0,11.0,32.0,341.0,36.0,38.0,86.0,2.0,7.0,3.0,2.0,27.0,57.0,8.0,3.1,11.139932387258906,3.58351893845611,2,3,2,7
2124,659.0,65.0,16.0,95236.0,16.0,26.0,590.0,175.0,14.0,36.0,21.0,30.0,2.0,11.0,4.0,47.0,4.0,1.8,11.464113300558793,5.1647859739235145,3,4,3,10
2125,909.0,51.0,16.0,91684.0,24.0,5.0,1083.0,425.0,11.0,86.0,1.0,11.0,1.0,1.0,31.0,53.0,7.0,2.5,11.426103161014257,6.052089168924417,3,4,4,11
2126,1027.0,69.0,17.0,103347.0,34.0,49.0,1722.0,968.0,2.0,57.0,5.0,31.0,4.0,4.0,1.0,11.0,2.0,2.8,11.545847537112408,6.875232087276577,4,3,4,11
2127,1003.0,21.0,15.0,29317.0,4.0,21.0,57.0,-6.0,77.0,27.0,25.0,15.0,6.0,27.0,14.0,70.0,9.0,2.7,10.285922831529602,0.0,1,4,1,6
2128,1223.0,27.0,17.0,44799.0,13.0,85.0,437.0,-98.0,80.0,58.0,7.0,23.0,5.0,7.0,21.0,58.0,9.0,3.4,10.709941096725379,0.0,3,1,3,7
2129,1194.0,65.0,17.0,102366.0,32.0,56.0,1600.0,641.0,1.0,30.0,11.0,43.0,7.0,9.0,10.0,18.0,4.0,3.3,11.536309905202964,6.46302945692067,4,2,4,10
2130,1056.0,49.0,19.0,70386.0,11.0,35.0,344.0,55.0,30.0,94.0,0.0,6.0,0.0,0.0,0.0,46.0,6.0,2.9,11.161749658733775,4.007333185232471,2,3,2,7
2131,947.0,62.0,15.0,93208.0,24.0,98.0,1083.0,313.0,10.0,74.0,7.0,17.0,2.0,0.0,32.0,32.0,5.0,2.6,11.442588833899777,5.746203190540153,3,1,4,8
2132,668.0,43.0,18.0,76592.0,18.0,61.0,709.0,253.0,21.0,55.0,2.0,33.0,6.0,4.0,16.0,34.0,3.0,1.8,11.24624791163229,5.53338948872752,3,2,3,8
2133,913.0,31.0,18.0,40697.0,1.0,200.0,12.0,-2.0,90.0,46.0,7.0,31.0,8.0,8.0,43.0,54.0,7.0,2.5,10.613909658640255,0.0,1,1,1,3
2134,949.0,42.0,19.0,68548.0,1.0,181.0,19.0,0.0,49.0,77.0,0.0,18.0,1.0,4.0,9.0,49.0,5.0,2.6,11.13528950878074,0.0,1,1,1,3
2135,1207.0,57.0,15.0,88737.0,32.0,99.0,1596.0,560.0,4.0,47.0,11.0,29.0,2.0,11.0,21.0,21.0,5.0,3.3,11.393432217735345,6.327936783729195,4,1,4,9
2136,785.0,25.0,16.0,35611.0,3.0,13.0,32.0,-1.0,59.0,30.0,13.0,49.0,2.0,6.0,38.0,64.0,5.0,2.2,10.48040985787697,0.0,1,4,1,6
2137,1084.0,51.0,19.0,64961.0,11.0,34.0,343.0,42.0,34.0,90.0,0.0,9.0,0.0,0.0,6.0,43.0,5.0,3.0,11.081542368805742,3.7376696182833684,2,3,2,7
2138,943.0,33.0,17.0,51228.0,11.0,48.0,345.0,65.0,18.0,57.0,2.0,37.0,2.0,2.0,10.0,69.0,8.0,2.6,10.844041536545962,4.174387269895637,2,3,2,7
2139,1047.0,59.0,14.0,88305.0,28.0,92.0,1334.0,463.0,10.0,62.0,8.0,20.0,9.0,2.0,16.0,30.0,5.0,2.9,11.388552010130471,6.137727054086234,4,1,4,9
2140,761.0,24.0,18.0,28026.0,3.0,39.0,56.0,3.0,38.0,49.0,6.0,39.0,5.0,1.0,3.0,57.0,8.0,2.1,10.240887929730164,1.0986122886681098,1,3,1,5
2141,739.0,33.0,18.0,45847.0,1.0,214.0,14.0,-2.0,85.0,47.0,3.0,32.0,18.0,1.0,10.0,70.0,7.0,2.0,10.733065044791472,0.0,1,1,1,3
2142,686.0,20.0,14.0,41550.0,2.0,54.0,26.0,-1.0,64.0,8.0,12.0,41.0,31.0,8.0,39.0,59.0,6.0,1.9,10.634652800283595,0.0,1,2,1,4
2143,709.0,66.0,19.0,90301.0,26.0,39.0,1205.0,505.0,2.0,72.0,4.0,22.0,1.0,1.0,9.0,14.0,2.0,1.9,11.410903813540878,6.22455842927536,4,3,4,11
2144,620.0,51.0,17.0,70997.0,8.0,87.0,217.0,61.0,26.0,47.0,16.0,21.0,8.0,8.0,2.0,30.0,2.0,1.7,11.17039290160962,4.110873864173311,2,1,2,5
2145,810.0,29.0,20.0,35856.0,3.0,2.0,35.0,-12.0,90.0,79.0,1.0,10.0,5.0,5.0,7.0,45.0,4.0,2.2,10.487266196040709,0.0,1,4,1,6
2146,736.0,40.0,15.0,43390.0,1.0,472.0,18.0,1.0,42.0,43.0,5.0,45.0,2.0,5.0,10.0,32.0,4.0,2.0,10.677984278792396,0.0,1,1,1,3
2147,686.0,56.0,19.0,100482.0,21.0,32.0,900.0,262.0,9.0,81.0,2.0,14.0,2.0,2.0,14.0,29.0,2.0,1.9,11.517733885962533,5.568344503761097,3,3,3,9
2148,1065.0,41.0,17.0,58359.0,8.0,13.0,220.0,59.0,23.0,67.0,1.0,29.0,2.0,1.0,12.0,36.0,4.0,2.9,10.974368867465927,4.07753744390572,2,4,2,8
2149,914.0,31.0,15.0,41188.0,9.0,18.0,258.0,13.0,41.0,27.0,12.0,41.0,11.0,9.0,9.0,62.0,8.0,2.5,10.625902230776642,2.5649493574615367,2,4,2,8
2150,596.0,34.0,17.0,60701.0,3.0,55.0,65.0,12.0,18.0,42.0,3.0,37.0,8.0,10.0,25.0,71.0,7.0,1.6,11.013715451376466,2.4849066497880004,1,2,2,5
2151,812.0,33.0,15.0,49874.0,1.0,218.0,15.0,1.0,41.0,15.0,3.0,56.0,12.0,14.0,23.0,76.0,8.0,2.2,10.817255103865845,0.0,1,1,1,3
2152,1157.0,56.0,16.0,77672.0,18.0,80.0,712.0,245.0,15.0,46.0,6.0,39.0,6.0,3.0,5.0,37.0,6.0,3.2,11.26025011104998,5.501258210544727,3,1,3,7
2153,1068.0,59.0,14.0,90163.0,22.0,74.0,962.0,278.0,3.0,22.0,11.0,48.0,14.0,5.0,2.0,36.0,5.0,2.9,11.409374422339322,5.627621113690637,3,2,3,8
2154,1090.0,28.0,19.0,52576.0,7.0,21.0,181.0,7.0,43.0,59.0,2.0,30.0,1.0,8.0,9.0,62.0,7.0,3.0,10.870015020836995,1.9459101490553132,2,4,2,8
2155,776.0,33.0,14.0,33396.0,3.0,63.0,66.0,-5.0,66.0,45.0,4.0,37.0,7.0,7.0,22.0,52.0,7.0,2.1,10.416191411313891,0.0,1,2,2,5
2156,865.0,76.0,19.0,127137.0,23.0,87.0,1026.0,452.0,11.0,63.0,1.0,31.0,2.0,4.0,6.0,49.0,4.0,2.4,11.753020524176144,6.113682179832232,3,1,3,7
2157,551.0,28.0,15.0,33675.0,2.0,98.0,32.0,2.0,42.0,57.0,4.0,12.0,13.0,14.0,21.0,33.0,4.0,1.5,10.424511001278566,0.6931471805599453,1,1,1,3
2158,871.0,66.0,19.0,119218.0,39.0,86.0,2043.0,662.0,1.0,47.0,4.0,40.0,4.0,4.0,13.0,8.0,1.0,2.4,11.68870902892443,6.495265555937008,4,1,4,9
2159,610.0,72.0,18.0,103842.0,19.0,29.0,763.0,268.0,2.0,9.0,17.0,52.0,19.0,3.0,2.0,16.0,1.0,1.7,11.550625792153054,5.5909869805108565,3,3,3,9
2160,600.0,64.0,17.0,84009.0,18.0,78.0,720.0,319.0,14.0,36.0,1.0,42.0,17.0,4.0,4.0,24.0,3.0,1.6,11.338679214943207,5.765191102784844,3,2,3,8
2161,623.0,45.0,14.0,55685.0,4.0,55.0,56.0,1.0,47.0,59.0,8.0,21.0,6.0,6.0,30.0,60.0,5.0,1.7,10.9274660898272,0.0,1,2,1,4
2162,861.0,35.0,20.0,42681.0,5.0,89.0,117.0,-5.0,54.0,85.0,0.0,13.0,1.0,1.0,5.0,49.0,7.0,2.4,10.661509135319276,0.0,2,1,2,5
2163,583.0,53.0,14.0,78857.0,13.0,67.0,446.0,57.0,30.0,82.0,1.0,14.0,2.0,2.0,10.0,46.0,6.0,1.6,11.275391364608074,4.04305126783455,3,2,3,8
2164,1020.0,22.0,16.0,42153.0,3.0,82.0,41.0,-3.0,65.0,5.0,8.0,50.0,10.0,27.0,22.0,59.0,7.0,2.8,10.649061135274449,0.0,1,1,1,3
